Date,Company,Ticker,Open,High,Low,Close,Adj Close,Volume
01-06-2021,Meta Platforms,META,101.06,101.59,99.65,100.57,100.57,169360
02-06-2021,Meta Platforms,META,98.94,101.15,98.21,100.25,100.25,1236093
03-06-2021,Meta Platforms,META,102.1,103.19,101.3,101.62,101.62,1213097
04-06-2021,Meta Platforms,META,102.67,105.24,102.48,104.85,104.85,309116
07-06-2021,Meta Platforms,META,102.43,103.14,101.19,102.14,102.14,785989
08-06-2021,Meta Platforms,META,100.73,101.24,99.12,100.22,100.22,2152890
09-06-2021,Meta Platforms,META,104.03,106.14,103.19,106.13,106.13,81829
10-06-2021,Meta Platforms,META,104.31,105.62,104.04,105.33,105.33,321697
11-06-2021,Meta Platforms,META,103.27,105.11,102.51,104.93,104.93,536509
14-06-2021,Meta Platforms,META,103.58,104.52,102.5,104.51,104.51,474698
15-06-2021,Meta Platforms,META,103.99,106.23,103.43,104.83,104.83,10352
16-06-2021,Meta Platforms,META,102.24,102.79,101.63,102.49,102.49,186971
17-06-2021,Meta Platforms,META,103.85,104.39,103.36,104.32,104.32,64474
18-06-2021,Meta Platforms,META,99.9,101.08,98.69,100.94,100.94,599928
21-06-2021,Meta Platforms,META,101.69,101.9,99.88,101.37,101.37,148667
22-06-2021,Meta Platforms,META,99.26,99.56,98.59,98.98,98.98,170416
23-06-2021,Meta Platforms,META,98.74,99.18,97.39,98.58,98.58,949554
24-06-2021,Meta Platforms,META,97.41,98.34,94.97,96.34,96.34,224765
25-06-2021,Meta Platforms,META,96.82,97.36,95.43,96.18,96.18,576510
28-06-2021,Meta Platforms,META,93.98,96.42,92.5,96.03,96.03,183359
29-06-2021,Meta Platforms,META,98.02,98.74,97.05,98.62,98.62,1196571
30-06-2021,Meta Platforms,META,97.66,98.72,97.21,97.79,97.79,884802
01-07-2021,Meta Platforms,META,97.71,100.97,96.09,99.59,99.59,1471170
02-07-2021,Meta Platforms,META,96.25,97.29,95.18,95.79,95.79,1826009
05-07-2021,Meta Platforms,META,96.59,98.75,94.82,95.42,95.42,742095
06-07-2021,Meta Platforms,META,96.32,98.89,96.29,97.32,97.32,753417
07-07-2021,Meta Platforms,META,95.33,97.35,94.06,94.19,94.19,365321
08-07-2021,Meta Platforms,META,95.43,96.4,92.7,93.9,93.9,656894
09-07-2021,Meta Platforms,META,93.6,96.37,92.88,95.18,95.18,996047
12-07-2021,Meta Platforms,META,93.6,95.1,92.61,92.93,92.93,250833
13-07-2021,Meta Platforms,META,95.08,95.54,92.15,94.31,94.31,643518
14-07-2021,Meta Platforms,META,96.53,96.8,94.13,95.66,95.66,507835
15-07-2021,Meta Platforms,META,96.13,97.03,95.29,96.67,96.67,1044809
16-07-2021,Meta Platforms,META,92.57,97.69,92.35,96.59,96.59,276813
19-07-2021,Meta Platforms,META,95.66,97.03,95.08,96.17,96.17,167121
20-07-2021,Meta Platforms,META,94.42,96.03,93.4,93.89,93.89,734877
21-07-2021,Meta Platforms,META,95.01,95.7,93.71,95.52,95.52,399687
22-07-2021,Meta Platforms,META,91.73,92.44,90.5,91.86,91.86,21271
23-07-2021,Meta Platforms,META,91.37,93,88.76,92.76,92.76,565509
26-07-2021,Meta Platforms,META,89.49,92.39,88.2,92.01,92.01,673181
27-07-2021,Meta Platforms,META,91.85,92.06,89.92,90.77,90.77,580523
28-07-2021,Meta Platforms,META,92.75,94.23,91.56,93.83,93.83,444602
29-07-2021,Meta Platforms,META,93.25,93.38,91.42,91.44,91.44,784898
30-07-2021,Meta Platforms,META,92.4,92.82,90.74,91.63,91.63,437458
02-08-2021,Meta Platforms,META,90.99,92.72,89.5,89.9,89.9,224684
03-08-2021,Meta Platforms,META,90.48,92.24,86.61,88.13,88.13,1262584
04-08-2021,Meta Platforms,META,88.54,92.21,88.35,91.65,91.65,1542109
05-08-2021,Meta Platforms,META,92.15,93.42,91.13,92.21,92.21,592526
06-08-2021,Meta Platforms,META,91.27,92.09,89.93,89.94,89.94,170184
09-08-2021,Meta Platforms,META,88.27,90.38,88.18,89.42,89.42,1477530
10-08-2021,Meta Platforms,META,87.91,89.57,86.04,88.86,88.86,82680
11-08-2021,Meta Platforms,META,88.54,90.81,87.52,90.18,90.18,1854092
12-08-2021,Meta Platforms,META,89.21,89.44,87.61,88.57,88.57,372206
13-08-2021,Meta Platforms,META,89.69,92.03,89.2,90.48,90.48,1119617
16-08-2021,Meta Platforms,META,89.77,90.1,87.72,87.86,87.86,466036
17-08-2021,Meta Platforms,META,88.97,91.61,87.8,91.08,91.08,2872262
18-08-2021,Meta Platforms,META,89.7,93.16,89.24,91.5,91.5,602212
19-08-2021,Meta Platforms,META,89.88,90.18,87.65,88.42,88.42,1226933
20-08-2021,Meta Platforms,META,89.65,90.52,88.71,89.54,89.54,226478
23-08-2021,Meta Platforms,META,91.09,92.44,89.6,91.63,91.63,271123
24-08-2021,Meta Platforms,META,90.22,92.64,88.61,89.49,89.49,736843
25-08-2021,Meta Platforms,META,89.77,90.64,88.21,90.12,90.12,529052
26-08-2021,Meta Platforms,META,89.74,90.04,86.34,87.7,87.7,466429
27-08-2021,Meta Platforms,META,87.72,88.88,85.4,86.14,86.14,810252
30-08-2021,Meta Platforms,META,88.77,90.73,88.7,89.71,89.71,428816
31-08-2021,Meta Platforms,META,90.62,90.98,89.27,90.1,90.1,86143
01-09-2021,Meta Platforms,META,88.78,89.21,86.02,86.93,86.93,2362932
02-09-2021,Meta Platforms,META,89.84,93.53,89.82,91.47,91.47,728002
03-09-2021,Meta Platforms,META,91.03,93.24,90.23,92.59,92.59,482743
